"Date","Price","Open","High","Low","Vol.","Change %"
"10/25/2023","49.44","52.79","52.79","49.32","4.36M","-5.59%"
"10/24/2023","52.37","52.00","52.89","51.05","7.17M","4.30%"
"10/23/2023","50.21","47.22","51.88","46.50","9.65M","4.89%"
"10/20/2023","47.87","49.74","49.74","46.50","8.09M","-3.76%"
"10/19/2023","49.74","52.00","52.70","49.53","4.46M","-4.16%"
"10/18/2023","51.90","52.28","52.70","51.28","2.26M","-0.75%"
"10/17/2023","52.29","51.00","52.76","50.65","2.53M","0.38%"
"10/16/2023","52.09","51.04","52.35","51.04","3.31M","2.58%"
"10/13/2023","50.78","52.50","52.56","50.00","6.46M","-2.06%"
"10/12/2023","51.85","54.75","54.75","51.41","7.32M","-5.18%"
"10/11/2023","54.68","56.17","56.33","54.38","4.36M","-1.85%"
"10/10/2023","55.71","55.24","55.86","54.20","5.04M","2.69%"
"10/09/2023","54.25","54.40","55.80","53.37","7.20M","0.31%"
"10/06/2023","54.08","52.72","54.21","51.55","4.01M","2.99%"
"10/05/2023","52.51","53.90","53.90","52.09","2.98M","-1.78%"
"10/04/2023","53.46","51.97","53.81","51.31","6.19M","3.66%"
"10/03/2023","51.57","51.96","52.24","50.80","4.67M","-1.32%"
"10/02/2023","52.26","53.47","54.19","51.91","8.81M","-2.35%"
"09/29/2023","53.52","56.21","56.79","53.08","7.81M","-3.55%"
"09/28/2023","55.49","53.50","56.50","52.86","8.62M","4.72%"
"09/27/2023","52.99","54.40","54.41","51.79","6.87M","-0.99%"
"09/26/2023","53.52","53.93","54.53","52.70","6.19M","-1.69%"
"09/25/2023","54.44","51.12","54.50","50.02","12.79M","6.08%"
"09/22/2023","51.32","52.90","52.90","50.35","8.43M","-1.61%"
"09/21/2023","52.16","51.78","52.80","49.85","14.96M","-1.42%"
"09/20/2023","52.91","55.17","55.40","51.52","16.27M","-4.10%"
"09/19/2023","55.17","56.25","56.78","53.88","18.23M","-4.88%"
"09/18/2023","58.00","57.95","58.74","55.02","34.32M","-4.53%"
"09/15/2023","60.75","68.63","69.00","60.75","74.75M","-4.47%"